lesion_id,globules_present,streaks_present,pigment_network_present,dots_present,structureless_present,num_structures,D_value
ISIC_0000108,1,0,1,0,0,2,1.0
ISIC_0000109,0,0,1,0,0,1,0.5
ISIC_0000110,0,0,0,0,0,0,0.0
ISIC_0000111,0,0,1,0,0,1,0.5
ISIC_0000112,0,0,1,0,0,1,0.5
ISIC_0000113,1,0,0,0,0,1,0.5
ISIC_0000115,1,0,0,0,0,1,0.5
ISIC_0000116,0,0,1,0,0,1,0.5
ISIC_0000117,0,0,1,0,0,1,0.5
ISIC_0000119,0,1,1,0,0,2,1.0
ISIC_0000120,0,0,1,0,0,1,0.5
ISIC_0000121,0,0,0,0,0,0,0.0
ISIC_0000122,0,0,0,0,0,0,0.0
ISIC_0000123,0,0,0,0,0,0,0.0
ISIC_0000124,0,0,1,0,0,1,0.5
ISIC_0000125,0,0,0,0,0,0,0.0
ISIC_0000126,0,0,1,0,0,1,0.5
ISIC_0000127,1,1,1,0,0,3,1.5
ISIC_0000128,1,0,1,0,0,2,1.0
ISIC_0000129,1,0,1,0,0,2,1.0
ISIC_0000131,1,0,0,0,0,1,0.5
ISIC_0000132,0,0,0,0,0,0,0.0
ISIC_0000133,0,0,1,0,0,1,0.5
ISIC_0000134,0,0,1,0,0,1,0.5
ISIC_0000135,0,0,1,0,0,1,0.5
ISIC_0000136,0,0,1,0,0,1,0.5
ISIC_0000137,1,0,1,0,0,2,1.0
ISIC_0000138,0,1,1,0,0,2,1.0
ISIC_0000139,1,0,1,0,0,2,1.0
ISIC_0000140,1,1,1,0,0,3,1.5
ISIC_0000141,0,0,1,0,0,1,0.5
ISIC_0000142,1,0,1,0,0,2,1.0
ISIC_0000143,1,0,1,0,0,2,1.0
ISIC_0000145,0,0,1,0,0,1,0.5
ISIC_0000146,1,0,0,0,0,1,0.5
ISIC_0000147,1,0,0,0,0,1,0.5
ISIC_0000148,1,1,1,0,0,3,1.5
ISIC_0000149,0,0,1,0,0,1,0.5
ISIC_0000150,1,0,1,0,0,2,1.0
ISIC_0000151,1,0,1,0,0,2,1.0
ISIC_0000152,0,0,1,0,0,1,0.5
ISIC_0000153,0,0,1,0,0,1,0.5
ISIC_0000154,0,0,1,0,0,1,0.5
ISIC_0000155,1,1,1,0,0,3,1.5
ISIC_0000156,0,0,1,0,0,1,0.5
ISIC_0000157,0,0,1,0,0,1,0.5
ISIC_0000159,1,1,1,0,0,3,1.5
ISIC_0000160,1,0,1,0,0,2,1.0
ISIC_0000161,0,1,1,0,0,2,1.0
ISIC_0000162,0,0,1,0,0,1,0.5
ISIC_0000163,1,0,1,0,0,2,1.0
ISIC_0000164,0,0,1,0,0,1,0.5
ISIC_0000165,1,1,1,0,0,3,1.5
ISIC_0000166,0,0,1,0,0,1,0.5
ISIC_0000167,0,1,1,0,0,2,1.0
ISIC_0000169,0,0,0,0,0,0,0.0
ISIC_0000170,0,1,1,0,0,2,1.0
ISIC_0000171,1,0,1,0,0,2,1.0
ISIC_0000172,0,0,1,0,0,1,0.5
ISIC_0000173,0,1,1,0,0,2,1.0
ISIC_0000175,1,1,1,0,0,3,1.5
ISIC_0000176,0,0,1,0,0,1,0.5
ISIC_0000177,0,0,0,0,0,0,0.0
ISIC_0000179,0,0,0,0,0,0,0.0
ISIC_0000181,0,0,0,0,0,0,0.0
ISIC_0000182,0,0,1,0,0,1,0.5
ISIC_0000183,0,0,1,0,0,1,0.5
ISIC_0000184,1,0,1,0,0,2,1.0
ISIC_0000185,0,0,0,0,0,0,0.0
ISIC_0000186,0,0,0,0,0,0,0.0
ISIC_0000187,1,0,0,0,0,1,0.5
ISIC_0000188,1,0,0,0,0,1,0.5
ISIC_0000189,1,0,0,0,0,1,0.5
ISIC_0000190,1,0,1,0,0,2,1.0
ISIC_0000191,1,0,1,0,0,2,1.0
ISIC_0000192,0,0,0,0,0,0,0.0
ISIC_0000193,0,0,0,0,0,0,0.0
ISIC_0000196,0,0,1,0,0,1,0.5
ISIC_0000197,0,0,1,0,0,1,0.5
ISIC_0000198,0,1,0,0,0,1,0.5
ISIC_0000199,1,1,1,0,0,3,1.5
ISIC_0000200,1,1,1,0,0,3,1.5
ISIC_0000201,0,1,1,0,0,2,1.0
ISIC_0000202,1,0,1,0,0,2,1.0
ISIC_0000203,0,0,1,0,0,1,0.5
ISIC_0000204,0,0,1,0,0,1,0.5
ISIC_0000205,0,0,1,0,0,1,0.5
ISIC_0000206,0,0,1,0,0,1,0.5
ISIC_0000207,0,0,1,0,0,1,0.5
ISIC_0000208,0,0,0,0,0,0,0.0
ISIC_0000209,1,0,1,0,0,2,1.0
ISIC_0000210,0,1,0,0,0,1,0.5
ISIC_0000211,0,0,1,0,0,1,0.5
ISIC_0000212,0,0,1,0,0,1,0.5
ISIC_0000213,0,0,1,0,0,1,0.5
ISIC_0000214,0,0,1,0,0,1,0.5
ISIC_0000215,1,0,1,0,0,2,1.0
ISIC_0000216,1,0,1,0,0,2,1.0
ISIC_0000217,0,0,1,0,0,1,0.5
ISIC_0000218,1,0,1,0,0,2,1.0
ISIC_0000219,0,0,1,0,0,1,0.5
ISIC_0000220,0,0,1,0,0,1,0.5
ISIC_0000221,1,0,1,0,0,2,1.0
ISIC_0000222,0,0,1,1,0,2,1.0
ISIC_0000223,0,0,1,0,0,1,0.5
ISIC_0000224,0,0,1,0,0,1,0.5
ISIC_0000225,0,0,1,0,0,1,0.5
ISIC_0000226,0,0,1,0,0,1,0.5
ISIC_0000227,0,0,1,0,0,1,0.5
ISIC_0000228,1,0,1,0,0,2,1.0
ISIC_0000229,0,0,1,0,0,1,0.5
ISIC_0000230,1,0,1,0,0,2,1.0
ISIC_0000231,1,0,1,0,0,2,1.0
ISIC_0000232,0,0,1,0,0,1,0.5
ISIC_0000233,1,0,1,0,0,2,1.0
ISIC_0000234,0,0,1,0,0,1,0.5
ISIC_0000235,0,0,0,0,0,0,0.0
ISIC_0000236,1,0,1,0,0,2,1.0
ISIC_0000239,0,1,1,0,0,2,1.0
ISIC_0000240,1,1,1,0,0,3,1.5
ISIC_0000242,0,0,1,0,0,1,0.5
ISIC_0000243,1,0,1,0,0,2,1.0
ISIC_0000244,0,0,1,0,0,1,0.5
ISIC_0000245,0,0,1,0,0,1,0.5
ISIC_0000246,0,0,1,0,0,1,0.5
ISIC_0000247,0,0,1,0,0,1,0.5
ISIC_0000249,0,0,0,0,0,0,0.0
ISIC_0000250,1,0,1,0,0,2,1.0
ISIC_0000251,0,0,1,0,0,1,0.5
ISIC_0000252,0,0,1,0,0,1,0.5
ISIC_0000253,0,0,1,0,0,1,0.5
ISIC_0000254,0,0,1,0,0,1,0.5
ISIC_0000255,1,0,1,0,0,2,1.0
ISIC_0000256,1,0,1,0,0,2,1.0
ISIC_0000258,0,0,1,0,0,1,0.5
ISIC_0000259,1,0,1,0,0,2,1.0
ISIC_0000260,1,0,1,0,0,2,1.0
ISIC_0000261,1,0,1,0,0,2,1.0
ISIC_0000262,1,0,1,0,0,2,1.0
ISIC_0000263,0,0,1,0,0,1,0.5
ISIC_0000264,0,0,1,0,0,1,0.5
ISIC_0000265,0,0,0,0,0,0,0.0
ISIC_0000268,0,0,1,0,0,1,0.5
ISIC_0000269,1,0,1,0,0,2,1.0
ISIC_0000271,1,0,0,0,0,1,0.5
ISIC_0000274,0,0,1,0,0,1,0.5
ISIC_0000275,0,0,1,0,0,1,0.5
ISIC_0000276,0,0,1,0,0,1,0.5
ISIC_0000277,0,0,1,0,0,1,0.5
ISIC_0000278,0,0,0,0,0,0,0.0
ISIC_0000279,0,0,1,0,0,1,0.5
ISIC_0000281,1,1,1,0,0,3,1.5
ISIC_0000282,1,0,0,0,0,1,0.5
ISIC_0000283,1,1,1,0,0,3,1.5
ISIC_0000287,0,0,1,0,0,1,0.5
ISIC_0000288,0,0,0,0,0,0,0.0
ISIC_0000290,1,0,0,0,0,1,0.5
ISIC_0000292,1,0,0,0,0,1,0.5
ISIC_0000293,0,0,1,0,0,1,0.5
ISIC_0000294,0,0,1,0,0,1,0.5
ISIC_0000295,0,0,1,0,0,1,0.5
ISIC_0000297,1,1,0,0,0,2,1.0
ISIC_0000298,0,0,0,0,0,0,0.0
ISIC_0000299,0,0,1,0,0,1,0.5
ISIC_0000300,0,0,1,0,0,1,0.5
ISIC_0000301,1,0,1,0,0,2,1.0
ISIC_0000303,0,0,1,0,0,1,0.5
ISIC_0000306,0,0,0,0,0,0,0.0
ISIC_0000307,0,0,1,0,0,1,0.5
ISIC_0000310,1,0,1,0,0,2,1.0
ISIC_0000311,0,0,1,0,0,1,0.5
ISIC_0000313,0,0,1,0,0,1,0.5
ISIC_0000314,0,0,1,0,0,1,0.5
ISIC_0000315,0,0,0,0,0,0,0.0
ISIC_0000316,0,0,1,0,0,1,0.5
ISIC_0000317,0,0,0,0,0,0,0.0
ISIC_0000319,1,0,1,0,0,2,1.0
ISIC_0000320,0,0,1,0,0,1,0.5
ISIC_0000321,0,0,0,0,0,0,0.0
ISIC_0000322,0,0,1,0,0,1,0.5
ISIC_0000323,0,0,0,0,0,0,0.0
ISIC_0000324,0,0,1,0,0,1,0.5
ISIC_0000325,1,0,1,0,0,2,1.0
ISIC_0000326,0,0,1,0,0,1,0.5
ISIC_0000327,0,0,1,0,0,1,0.5
ISIC_0000328,1,0,0,0,0,1,0.5
ISIC_0000329,1,0,1,0,0,2,1.0
ISIC_0000330,0,0,0,0,0,0,0.0
ISIC_0000331,0,0,0,0,0,0,0.0
ISIC_0000332,0,0,0,0,0,0,0.0
ISIC_0000336,1,0,1,0,0,2,1.0
ISIC_0000337,0,0,1,0,0,1,0.5
ISIC_0000338,0,0,1,0,0,1,0.5
ISIC_0000339,0,0,0,0,0,0,0.0
ISIC_0000340,0,0,1,0,0,1,0.5
ISIC_0000341,1,0,1,0,0,2,1.0
ISIC_0000342,0,1,1,0,0,2,1.0
ISIC_0000343,0,0,0,0,0,0,0.0
ISIC_0000344,0,0,1,0,0,1,0.5
ISIC_0000345,0,0,1,0,0,1,0.5
ISIC_0000346,1,0,0,0,0,1,0.5
ISIC_0000348,0,0,1,0,0,1,0.5
ISIC_0000349,0,0,1,0,0,1,0.5
ISIC_0000350,0,0,1,0,0,1,0.5
ISIC_0000351,0,0,1,0,0,1,0.5
ISIC_0000352,0,0,1,0,0,1,0.5
ISIC_0000353,0,0,1,0,0,1,0.5
ISIC_0000354,0,0,1,1,0,2,1.0
ISIC_0000355,1,0,0,0,0,1,0.5
ISIC_0000357,0,0,1,0,0,1,0.5
ISIC_0000358,0,0,1,0,0,1,0.5
ISIC_0000359,0,0,1,0,0,1,0.5
ISIC_0000360,0,0,0,0,0,0,0.0
ISIC_0000361,0,0,1,0,0,1,0.5
ISIC_0000363,1,1,1,0,0,3,1.5
ISIC_0000364,0,0,0,0,0,0,0.0
ISIC_0000365,0,0,1,0,0,1,0.5
ISIC_0000366,0,1,1,0,0,2,1.0
ISIC_0000367,0,0,1,0,0,1,0.5
ISIC_0000368,0,0,1,0,0,1,0.5
ISIC_0000370,1,0,1,0,0,2,1.0
ISIC_0000372,0,0,1,0,0,1,0.5
ISIC_0000374,0,0,1,0,0,1,0.5
ISIC_0000376,0,0,1,0,0,1,0.5
ISIC_0000377,0,0,1,0,0,1,0.5
ISIC_0000378,1,0,1,0,0,2,1.0
ISIC_0000379,1,0,1,0,0,2,1.0
ISIC_0000380,1,0,1,0,0,2,1.0
ISIC_0000381,0,0,1,0,0,1,0.5
ISIC_0000382,1,0,0,0,0,1,0.5
ISIC_0000383,0,0,1,0,0,1,0.5
ISIC_0000384,0,0,0,0,0,0,0.0
ISIC_0000385,1,0,1,0,0,2,1.0
ISIC_0000386,0,0,1,0,0,1,0.5
ISIC_0000387,1,0,0,0,0,1,0.5
ISIC_0000388,0,0,1,0,0,1,0.5
ISIC_0000390,0,1,0,0,0,1,0.5
ISIC_0000391,0,0,1,0,0,1,0.5
ISIC_0000392,0,0,1,0,0,1,0.5
ISIC_0000393,0,0,0,0,0,0,0.0
ISIC_0000395,0,0,0,0,0,0,0.0
ISIC_0000396,0,0,1,0,0,1,0.5
ISIC_0000397,0,0,1,0,0,1,0.5
ISIC_0000403,0,0,1,0,0,1,0.5
ISIC_0000407,1,0,1,0,0,2,1.0
ISIC_0000408,1,0,1,0,0,2,1.0
ISIC_0000409,0,0,1,0,0,1,0.5
ISIC_0000410,0,0,1,0,0,1,0.5
ISIC_0000412,0,0,0,0,0,0,0.0
ISIC_0000413,0,0,0,0,0,0,0.0
ISIC_0000415,1,0,1,0,0,2,1.0
ISIC_0000416,0,0,1,0,0,1,0.5
ISIC_0000418,0,0,1,0,0,1,0.5
ISIC_0000419,0,0,1,0,0,1,0.5
ISIC_0000420,0,0,1,0,0,1,0.5
ISIC_0000421,0,0,1,0,0,1,0.5
ISIC_0000423,1,0,0,0,0,1,0.5
ISIC_0000425,1,0,1,0,0,2,1.0
ISIC_0000426,1,0,0,0,0,1,0.5
ISIC_0000427,0,0,1,0,0,1,0.5
ISIC_0000431,0,1,1,0,0,2,1.0
ISIC_0000433,0,0,1,0,0,1,0.5
ISIC_0000434,0,0,1,0,0,1,0.5
ISIC_0000436,0,0,1,0,0,1,0.5
ISIC_0000439,0,0,1,0,0,1,0.5
ISIC_0000442,1,0,1,0,0,2,1.0
ISIC_0000443,1,0,1,0,0,2,1.0
ISIC_0000444,0,0,1,0,0,1,0.5
ISIC_0000447,0,0,1,0,0,1,0.5
ISIC_0000448,0,0,1,0,0,1,0.5
ISIC_0000449,0,0,1,0,0,1,0.5
ISIC_0000451,0,0,1,0,0,1,0.5
ISIC_0000453,1,0,0,0,0,1,0.5
ISIC_0000455,1,0,0,0,0,1,0.5
ISIC_0000456,0,0,1,0,0,1,0.5
ISIC_0000457,1,0,0,0,0,1,0.5
ISIC_0000458,0,0,1,0,0,1,0.5
ISIC_0000460,0,0,1,0,0,1,0.5
ISIC_0000461,0,0,1,0,0,1,0.5
ISIC_0000463,0,0,1,0,0,1,0.5
ISIC_0000465,1,0,0,0,0,1,0.5
ISIC_0000466,1,0,1,0,0,2,1.0
ISIC_0000469,0,0,1,0,0,1,0.5
ISIC_0000470,0,0,1,0,0,1,0.5
ISIC_0000471,1,0,1,0,0,2,1.0
ISIC_0000473,0,0,1,0,0,1,0.5
ISIC_0000474,1,0,1,0,0,2,1.0
ISIC_0000476,0,0,1,0,0,1,0.5
ISIC_0000477,0,0,0,0,0,0,0.0
ISIC_0000479,0,0,0,1,0,1,0.5
ISIC_0000480,0,0,0,0,0,0,0.0
ISIC_0000481,0,0,1,0,0,1,0.5
ISIC_0000482,0,0,0,0,0,0,0.0
ISIC_0000483,1,0,1,0,0,2,1.0
ISIC_0000484,1,0,0,0,0,1,0.5
ISIC_0000485,1,0,1,0,0,2,1.0
ISIC_0000486,1,0,1,0,0,2,1.0
ISIC_0000487,0,0,1,0,0,1,0.5
ISIC_0000488,0,0,0,0,0,0,0.0
ISIC_0000489,0,0,0,0,0,0,0.0
ISIC_0000490,1,0,1,0,0,2,1.0
ISIC_0000491,0,0,1,0,0,1,0.5
ISIC_0000492,0,0,0,0,0,0,0.0
ISIC_0000493,1,0,1,0,0,2,1.0
ISIC_0000494,1,0,0,0,0,1,0.5
ISIC_0000495,1,0,1,0,0,2,1.0
ISIC_0000496,1,0,1,0,0,2,1.0
ISIC_0000498,0,0,1,0,0,1,0.5
ISIC_0000499,0,0,1,0,0,1,0.5
ISIC_0000500,0,0,1,0,0,1,0.5
ISIC_0000501,1,0,0,0,0,1,0.5
ISIC_0000503,0,0,1,0,0,1,0.5
ISIC_0000504,0,0,0,0,0,0,0.0
ISIC_0000505,1,0,1,0,0,2,1.0
ISIC_0000506,1,0,0,0,0,1,0.5
ISIC_0000507,0,0,0,0,0,0,0.0
ISIC_0000508,0,0,1,0,0,1,0.5
ISIC_0000509,0,0,1,0,0,1,0.5
ISIC_0000510,1,0,1,0,0,2,1.0
ISIC_0000511,0,0,0,0,0,0,0.0
ISIC_0000513,0,0,1,0,0,1,0.5
ISIC_0000514,0,0,1,0,0,1,0.5
ISIC_0000515,0,0,1,0,0,1,0.5
ISIC_0000517,0,0,0,0,0,0,0.0
ISIC_0000518,0,0,0,0,0,0,0.0
ISIC_0000519,0,0,1,0,0,1,0.5
ISIC_0000520,0,0,1,0,0,1,0.5
ISIC_0000521,0,0,1,0,0,1,0.5
ISIC_0000522,1,1,0,0,0,2,1.0
ISIC_0000523,0,0,0,0,0,0,0.0
ISIC_0000524,0,0,1,0,0,1,0.5
ISIC_0000525,1,0,1,0,0,2,1.0
ISIC_0000527,1,0,0,0,0,1,0.5
ISIC_0000528,0,0,0,0,0,0,0.0
ISIC_0000529,0,0,1,0,0,1,0.5
ISIC_0000530,0,0,0,0,0,0,0.0
ISIC_0000531,0,0,1,0,0,1,0.5
ISIC_0000532,0,0,1,0,0,1,0.5
ISIC_0000533,1,0,1,0,0,2,1.0
ISIC_0000534,0,0,1,0,0,1,0.5
ISIC_0000535,0,0,0,0,0,0,0.0
ISIC_0000536,0,0,1,0,0,1,0.5
ISIC_0000537,1,0,0,0,0,1,0.5
ISIC_0000538,0,0,1,0,0,1,0.5
ISIC_0000539,0,0,1,0,0,1,0.5
ISIC_0000540,0,0,1,0,0,1,0.5
ISIC_0000541,0,0,1,0,0,1,0.5
ISIC_0000542,0,0,1,0,0,1,0.5
ISIC_0000543,0,0,1,0,0,1,0.5
ISIC_0000544,1,0,1,0,0,2,1.0
ISIC_0000545,1,0,0,0,0,1,0.5
ISIC_0000546,0,0,0,0,0,0,0.0
ISIC_0000547,0,0,1,0,0,1,0.5
ISIC_0000548,0,0,1,0,0,1,0.5
ISIC_0000549,0,0,1,0,0,1,0.5
ISIC_0000550,0,0,1,0,0,1,0.5
ISIC_0000552,1,1,1,0,0,3,1.5
ISIC_0000554,0,0,1,0,0,1,0.5
ISIC_0000555,0,0,0,0,0,0,0.0
ISIC_0000556,0,0,1,0,0,1,0.5
ISIC_0000882,0,0,1,0,0,1,0.5
ISIC_0000900,0,0,0,0,0,0,0.0
ISIC_0000999,0,0,1,0,0,1,0.5
ISIC_0001100,0,1,0,0,0,1,0.5
ISIC_0001102,0,1,0,0,0,1,0.5
ISIC_0001103,1,1,1,0,0,3,1.5
ISIC_0001105,1,0,0,0,0,1,0.5
ISIC_0001106,0,0,1,0,0,1,0.5
ISIC_0001118,1,0,1,0,0,2,1.0
ISIC_0001119,1,1,1,0,0,3,1.5
ISIC_0001126,1,0,0,0,0,1,0.5
ISIC_0001128,0,0,0,0,0,0,0.0
ISIC_0001131,0,0,1,0,0,1,0.5
ISIC_0001133,1,0,0,0,0,1,0.5
ISIC_0001134,0,1,1,0,0,2,1.0
ISIC_0001140,0,1,1,0,0,2,1.0
ISIC_0001142,1,1,1,0,0,3,1.5
ISIC_0001148,0,0,1,0,0,1,0.5
ISIC_0001152,1,0,1,0,0,2,1.0
ISIC_0001163,0,0,0,0,0,0,0.0
ISIC_0001181,0,0,0,0,0,0,0.0
ISIC_0001184,0,0,1,0,0,1,0.5
ISIC_0001185,0,0,1,0,0,1,0.5
ISIC_0001186,0,0,1,0,0,1,0.5
ISIC_0001188,0,0,1,0,0,1,0.5
ISIC_0001190,0,0,1,0,0,1,0.5
ISIC_0001191,0,0,1,0,0,1,0.5
ISIC_0001204,1,0,1,0,0,2,1.0
ISIC_0001212,1,0,0,0,0,1,0.5
ISIC_0001213,0,0,1,0,0,1,0.5
ISIC_0001216,0,0,0,0,0,0,0.0
ISIC_0001242,1,0,1,0,0,2,1.0
ISIC_0001247,0,0,0,0,0,0,0.0
ISIC_0001254,0,0,0,0,0,0,0.0
ISIC_0001262,0,0,0,0,0,0,0.0
ISIC_0001267,0,0,0,0,0,0,0.0
ISIC_0001275,0,0,1,0,0,1,0.5
ISIC_0001286,0,0,1,0,0,1,0.5
ISIC_0001292,0,0,1,0,0,1,0.5
ISIC_0001296,0,0,1,0,0,1,0.5
ISIC_0001299,0,0,1,0,0,1,0.5
ISIC_0001306,0,0,0,0,0,0,0.0
ISIC_0001367,0,0,1,0,0,1,0.5
ISIC_0001372,0,0,0,0,0,0,0.0
ISIC_0001374,0,0,1,0,0,1,0.5
ISIC_0001385,0,0,0,0,0,0,0.0
ISIC_0001423,0,0,0,0,0,0,0.0
ISIC_0001427,0,0,0,0,0,0,0.0
ISIC_0001442,0,0,0,0,0,0,0.0
ISIC_0001449,0,0,0,0,0,0,0.0
ISIC_0001769,0,0,1,0,0,1,0.5
ISIC_0001852,0,0,0,0,0,0,0.0
ISIC_0001871,1,0,0,0,0,1,0.5
ISIC_0001960,0,0,1,0,0,1,0.5
ISIC_0002093,0,0,1,0,0,1,0.5
ISIC_0002107,1,0,1,0,0,2,1.0
ISIC_0002206,0,0,0,0,0,0,0.0
ISIC_0002246,0,0,0,0,0,0,0.0
ISIC_0002251,0,0,0,0,0,0,0.0
ISIC_0002287,1,0,0,0,0,1,0.5
ISIC_0002353,0,0,0,0,0,0,0.0
ISIC_0002374,0,0,0,0,0,0,0.0
ISIC_0002438,1,0,1,0,0,2,1.0
ISIC_0002439,1,0,1,0,0,2,1.0
ISIC_0002453,0,0,0,0,0,0,0.0
ISIC_0002459,0,0,0,0,0,0,0.0
ISIC_0002469,0,0,0,0,0,0,0.0
ISIC_0002476,0,0,0,0,0,0,0.0
ISIC_0002488,0,0,0,0,0,0,0.0
ISIC_0002489,0,0,1,0,0,1,0.5
ISIC_0002616,0,0,1,0,0,1,0.5
ISIC_0002647,0,0,1,0,0,1,0.5
ISIC_0002673,0,0,0,0,0,0,0.0
ISIC_0002780,0,0,1,0,0,1,0.5
ISIC_0002806,0,0,1,0,0,1,0.5
ISIC_0002829,1,0,0,0,0,1,0.5
ISIC_0002836,1,0,0,0,0,1,0.5
ISIC_0002871,0,0,0,0,0,0,0.0
ISIC_0002879,0,0,0,0,0,0,0.0
ISIC_0002885,0,0,0,0,0,0,0.0
ISIC_0002948,0,0,1,0,0,1,0.5
ISIC_0002975,0,0,0,0,0,0,0.0
ISIC_0002976,0,0,0,0,0,0,0.0
ISIC_0003005,0,0,0,0,0,0,0.0
ISIC_0003056,0,0,1,0,0,1,0.5
ISIC_0003174,1,0,0,0,0,1,0.5
ISIC_0003308,0,0,0,0,0,0,0.0
ISIC_0003346,0,0,1,0,0,1,0.5
ISIC_0003462,0,0,1,0,0,1,0.5
ISIC_0003539,1,0,1,0,0,2,1.0
ISIC_0003559,1,0,0,0,0,1,0.5
ISIC_0003582,1,0,1,0,0,2,1.0
ISIC_0003657,0,0,0,0,0,0,0.0
ISIC_0003728,0,0,0,0,0,0,0.0
ISIC_0003805,1,0,0,0,0,1,0.5
ISIC_0004110,0,0,1,0,0,1,0.5
ISIC_0004115,0,0,0,0,0,0,0.0
ISIC_0004168,0,0,1,0,0,1,0.5
